,P,BM,BS
Onthophagus acuminatus,0,162,350
Onthophagus nasutus,0,0,6
Onthophagus curvicornis,0,53,130
Onthophagus bidentatus,91,0,0
Onthophagus sp,0,2,0
Canthidium sp. 1,0,6,3
Canthidium sp. 2,1,27,15
Uroxys sp. 1,7,128,109
Uroxys sp. 2,0,20,75
Canthon sp,0,18,107
Oxysternon conspicillatum,0,4,20
Ontherus kirschii,0,0,1
Coprophaneus corytus,1,0,0
Dichotomius allyates,0,0,2
Dichotomius belus,15,2,3
Eurysternus plebejus,0,37,50
Eurysternus caribaeus,0,18,19
Deltochilum sp,0,0,4
